from,to,label,strength,trust,statement,quote,full.quote,combo.type,definition.type,Interview,Positive,sensitivity,specificity
1,20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
1,6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
1,6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
3,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
4,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
3,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
4,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
5,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
2,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
6,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
8,30,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,85,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
1,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
1,21,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
10,20,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
5,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
9,100,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
2,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
5,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
2,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
5,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
4,23,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
12,101,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
14,95,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
6,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
15,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
13,77,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
14,95,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
16,6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
17,102,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
17,102,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
17,102,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
14,95,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
17,102,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
15,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
6,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
18,103,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
15,99,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
20,92,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
21,104,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
22,29,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
22,101,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
22,101,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
20,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
20,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
20,22,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
23,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
24,29,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
25,105,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
22,101,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
26,98,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
24,29,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
24,29,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
27,30,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
24,29,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
24,101,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
27,101,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
22,29,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
28,106,NA,NA,NA,NA,NA,NA,NA,NA,0,0,NA,NA
29,6,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
30,104,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
29,101,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
29,101,NA,NA,NA,NA,NA,NA,NA,NA,0,1,NA,NA
19,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
31,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
32,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
33,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
34,47,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
7,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
35,73,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
36,107,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
7,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
37,108,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
7,24,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
38,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
39,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
39,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
10,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
4,89,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
11,2,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
41,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
12,101,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
42,101,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
19,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
43,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
33,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
44,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
43,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
4,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,25,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
19,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,28,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
19,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
45,76,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,75,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,75,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
2,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
45,76,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
46,109,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
40,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
40,72,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
47,85,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
48,110,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
44,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
49,111,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,26,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
9,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
15,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,112,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,112,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
50,113,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
50,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
4,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
51,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
35,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,27,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,77,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
46,109,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
50,114,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
13,77,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
13,77,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
41,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
42,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
38,74,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
43,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
43,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
1,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
9,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
15,20,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
43,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
31,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
31,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
4,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
31,23,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
11,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
43,6,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
51,98,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
12,79,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
1,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,22,NA,NA,NA,NA,NA,NA,NA,NA,1,1,NA,NA
6,99,NA,NA,NA,NA,NA,NA,NA,NA,1,0,NA,NA
